frame_time,frame_len,tcp_time_delta,tcp_retransmission,src_eth,dst_eth,type_eth,oui_eth_src,oui_eth_dst,lg_eth,ig_eth,src_ip,dst_ip,proto_ip,ttl_ip,flags_ip,len_ip,checksum_ip,srcport_tcp,dstport_tcp,flags_tcp,seq_tcp,ack_tcp,window_size_tcp,len_tcp,srcport_udp,dstport_udp,length_udp,checksum_udp,dns_qry_name,dns_qry_type,dns_a,dns_aaaa,dns_resp_name,dns_flags_response,http_request_method,http_host,http_request_uri,http_user_agent,http_response_code,tls_record_version,tls_handshake_type,tls_sni,arp_src_ip,arp_dst_ip,arp_src_mac,arp_dst_mac,arp_opcode,dhcp_message_type,dhcp_hostname,dhcp_requested_ip
,,,,00:0c:29:fb:6a:d6,00:0c:29:f7:61:06,,,,,,192.168.198.131,192.168.198.130,,64,,,,80,2973,0x0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:f7:61:06,00:0c:29:fb:6a:d6,,,,,,192.168.198.130,192.168.198.131,,64,,,,2979,80,0x0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:fb:6a:d6,00:0c:29:f7:61:06,,,,,,192.168.198.131,192.168.198.130,,64,,,,80,2974,0x0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:fb:6a:d6,00:0c:29:f7:61:06,,,,,,192.168.198.131,192.168.198.130,,64,,,,80,2975,0x0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:f7:61:06,00:0c:29:fb:6a:d6,,,,,,192.168.198.130,192.168.198.131,,64,,,,2980,80,0x0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:fb:6a:d6,00:0c:29:f7:61:06,,,,,,192.168.198.131,192.168.198.130,,64,,,,80,2976,0x0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:f7:61:06,00:0c:29:fb:6a:d6,,,,,,192.168.198.130,192.168.198.131,,64,,,,2981,80,0x0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:fb:6a:d6,00:0c:29:f7:61:06,,,,,,192.168.198.131,192.168.198.130,,64,,,,80,2977,0x0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:f7:61:06,00:0c:29:fb:6a:d6,,,,,,192.168.198.130,192.168.198.131,,64,,,,2982,80,0x0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:fb:6a:d6,00:0c:29:f7:61:06,,,,,,192.168.198.131,192.168.198.130,,64,,,,80,2978,0x0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:f7:61:06,00:0c:29:fb:6a:d6,,,,,,192.168.198.130,192.168.198.131,,64,,,,2983,80,0x0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:f7:61:06,00:0c:29:fb:6a:d6,,,,,,192.168.198.130,192.168.198.131,,64,,,,2984,80,0x0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:fb:6a:d6,00:0c:29:f7:61:06,,,,,,192.168.198.131,192.168.198.130,,64,,,,80,2979,0x0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:f7:61:06,00:0c:29:fb:6a:d6,,,,,,192.168.198.130,192.168.198.131,,64,,,,2985,80,0x0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:fb:6a:d6,00:0c:29:f7:61:06,,,,,,192.168.198.131,192.168.198.130,,64,,,,80,2980,0x0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:f7:61:06,00:0c:29:fb:6a:d6,,,,,,192.168.198.130,192.168.198.131,,64,,,,2986,80,0x0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:fb:6a:d6,00:0c:29:f7:61:06,,,,,,192.168.198.131,192.168.198.130,,64,,,,80,2981,0x0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:f7:61:06,00:0c:29:fb:6a:d6,,,,,,192.168.198.130,192.168.198.131,,64,,,,2987,80,0x0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:fb:6a:d6,00:0c:29:f7:61:06,,,,,,192.168.198.131,192.168.198.130,,64,,,,80,2982,0x0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:f7:61:06,00:0c:29:fb:6a:d6,,,,,,192.168.198.130,192.168.198.131,,64,,,,2988,80,0x0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:fb:6a:d6,00:0c:29:f7:61:06,,,,,,192.168.198.131,192.168.198.130,,64,,,,80,2983,0x0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:f7:61:06,00:0c:29:fb:6a:d6,,,,,,192.168.198.130,192.168.198.131,,64,,,,2989,80,0x0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:fb:6a:d6,00:0c:29:f7:61:06,,,,,,192.168.198.131,192.168.198.130,,64,,,,80,2984,0x0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:f7:61:06,00:0c:29:fb:6a:d6,,,,,,192.168.198.130,192.168.198.131,,64,,,,2990,80,0x0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:fb:6a:d6,00:0c:29:f7:61:06,,,,,,192.168.198.131,192.168.198.130,,64,,,,80,2985,0x0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:f7:61:06,00:0c:29:fb:6a:d6,,,,,,192.168.198.130,192.168.198.131,,64,,,,2991,80,0x0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:fb:6a:d6,00:0c:29:f7:61:06,,,,,,192.168.198.131,192.168.198.130,,64,,,,80,2986,0x0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:f7:61:06,00:0c:29:fb:6a:d6,,,,,,192.168.198.130,192.168.198.131,,64,,,,2992,80,0x0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:fb:6a:d6,00:0c:29:f7:61:06,,,,,,192.168.198.131,192.168.198.130,,64,,,,80,2987,0x0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:f7:61:06,00:0c:29:fb:6a:d6,,,,,,192.168.198.130,192.168.198.131,,64,,,,2993,80,0x0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:fb:6a:d6,00:0c:29:f7:61:06,,,,,,192.168.198.131,192.168.198.130,,64,,,,80,2988,0x0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:f7:61:06,00:0c:29:fb:6a:d6,,,,,,192.168.198.130,192.168.198.131,,64,,,,2994,80,0x0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:f7:61:06,00:0c:29:fb:6a:d6,,,,,,192.168.198.130,192.168.198.131,,64,,,,2995,80,0x0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:fb:6a:d6,00:0c:29:f7:61:06,,,,,,192.168.198.131,192.168.198.130,,64,,,,80,2989,0x0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:f7:61:06,00:0c:29:fb:6a:d6,,,,,,192.168.198.130,192.168.198.131,,64,,,,2996,80,0x0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:fb:6a:d6,00:0c:29:f7:61:06,,,,,,192.168.198.131,192.168.198.130,,64,,,,80,2990,0x0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:f7:61:06,00:0c:29:fb:6a:d6,,,,,,192.168.198.130,192.168.198.131,,64,,,,2997,80,0x0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:fb:6a:d6,00:0c:29:f7:61:06,,,,,,192.168.198.131,192.168.198.130,,64,,,,80,2991,0x0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:f7:61:06,00:0c:29:fb:6a:d6,,,,,,192.168.198.130,192.168.198.131,,64,,,,2998,80,0x0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
